id,options,correct_option
1,"(A) Tai Kamiya, (B) Naruto Uzumaki, (C) Ichigo Kurosaki, (D) Ash Ketchum",D
2,"(A) Ouran Academy, (B) U.A. High School, (C) Karasuno High School, (D) Honnouji Academy",A
3,"(A) Inuyasha, (B) Kirara, (C) Miroku, (D) Shippo",D
4,"(A) Mewtwo, (B) Pikachu, (C) Shenron, (D) Charizard",C
5,"(A) Sailor Jupiter, (B) Sailor Venus, (C) Sailor Mercury, (D) Sailor Moon",D
6,"(A) Duel Monsters, (B) Magic: The Gathering, (C) Vanguard, (D) Pokémon TCG",A
7,"(A) Judo, (B) Karate, (C) Kendo, (D) Anything Goes Martial Arts",D
8,"(A) Saiyans, (B) Namekians, (C) Parasites, (D) Saiyajins",C
9,"(A) Beika Detective Agency, (B) Kudo Detective Agency, (C) Moore Detective Agency, (D) Mouri Detective Agency",D
10,"(A) Gurren, (B) Lagann, (C) Arc-Gurren, (D) Arc-Lagann",B
11,"(A) Kiki, (B) Ursula, (C) Jiji, (D) Satsuki",A
12,"(A) Uzumaki Clan, (B) Uchiha Clan, (C) Hyuga Clan, (D) Nara Clan",A
13,"(A) Kuro-Sensei Class, (B) Kunugigaoka Junior High School, (C) Assassins' Guild, (D) E-Class",B
14,"(A) Mokona, (B) Kero, (C) Luna, (D) Tama",B
15,"(A) Go, (B) Shogi, (C) Chess, (D) Poker",C
16,"(A) Dark Repulser, (B) Elucidator, (C) Excalibur, (D) Lambent Light",B
17,"(A) Luna Nova Magical Academy, (B) Hogwarts School of Witchcraft and Wizardry, (C) Luna Nova Institute, (D) Mahoutokoro School of Magic",A
18,"(A) Strawberries, (B) Potato Chips, (C) Cake, (D) Apples",C
19,"(A) World Fighting Championship, (B) World Combat Tournament, (C) World Martial Arts Tournament, (D) Grand Martial Arts Championship",C
20,"(A) Magical Pact, (B) Soul Contract, (C) Soul Gem, (D) Witch Contract",C
21,"(A) Life Fiber, (B) Kamui, (C) Goku Uniform, (D) Scissor Blade",B
22,"(A) Tennis, (B) Basketball, (C) Soccer, (D) Volleyball",D
23,"(A) Britannian Knights, (B) Black Knights, (C) Knights of the Round, (D) Holy Britannian Empire",B
24,"(A) Hohenheim, (B) Roy Mustang, (C) Shou Tucker, (D) Izumi Curtis",D
25,"(A) Armored Titan, (B) Colossal Titan, (C) Female Titan, (D) Attack Titan",D
