id,options,correct_option
1,"(A) Kenichi Shirahama, (B) Shigeo Kageyama, (C) Natsu Dragneel, (D) Eren Yeager",D
2,"(A) Ryuk, (B) Rem, (C) Sidoh, (D) Gelus",A
3,"(A) Roy Mustang, (B) Alphonse Elric, (C) Winry Rockbell, (D) Riza Hawkeye",B
4,"(A) Gun Gale Online, (B) ALfheim Online, (C) Sword Art Online, (D) Accel World",C
5,"(A) Aincrad, (B) Disboard, (C) Alfheim, (D) Gun Gale",B
6,"(A) Genos, (B) Saitama, (C) Tatsumaki, (D) Mumen Rider",B
7,"(A) Blackbeard Pirates, (B) Red Hair Pirates, (C) Straw Hat Pirates, (D) Whitebeard Pirates",C
8,"(A) Jiraiya, (B) Kakashi Hatake, (C) Iruka Umino, (D) Tsunade",B
9,"(A) Kamii University, (B) U.A. High School, (C) Shuchiin Academy, (D) Kunugigaoka Junior High School",A
10,"(A) Armored Titan, (B) Colossal Titan, (C) Smiling Titan, (D) Beast Titan",C
11,"(A) Naomi Misora, (B) Misa Amane, (C) Kiyomi Takada, (D) Sayu Yagami",B
12,"(A) Central City, (B) Resembool, (C) Liore, (D) Amestris",D
13,"(A) Kazuto Kirigaya, (B) Akihiko Kayaba, (C) Nobuyuki Sugou, (D) Rinko Koujiro",B
14,"(A) Shiro, (B) Sora, (C) Jibril, (D) Tet",C
15,"(A) Genos, (B) Speed-o'-Sound Sonic, (C) King, (D) Fubuki",A
16,"(A) Monkey D. Luffy, (B) Roronoa Zoro, (C) Sanji, (D) Usopp",A
17,"(A) Himawari Uzumaki, (B) Sarada Uchiha, (C) Boruto Uzumaki, (D) Mitsuki",C
18,"(A) Hideyoshi Nagachika, (B) Touka Kirishima, (C) Ken Kaneki, (D) Rize Kamishiro",C
19,"(A) Garrison, (B) Scout Regiment, (C) Military Police Brigade, (D) Royal Government",C
20,"(A) L, (B) Near, (C) Mello, (D) Watari",A
21,"(A) Resembool, (B) Dublith, (C) Rush Valley, (D) Ishval",A
22,"(A) Sword Art Online, (B) ALfheim Online, (C) Gun Gale Online, (D) Project Alicization",B
23,"(A) Sora and Shiro, (B) Stephanie Dola and Jibril, (C) Tet and Izuna Hatsuse, (D) Riku and Schwi",A
24,"(A) City A, (B) City B, (C) City Z, (D) City Q",C
25,"(A) Akira Toriyama, (B) Masashi Kishimoto, (C) Hajime Isayama, (D) Eiichiro Oda",D
