Id,Question,Answer
1,"What is the name of the main character in Attack on Titan?", "Eren Yeager"
2,"Who is the shinigami in Death Note?", "Ryuk"
3,"What is the name of Edward Elric's brother in Fullmetal Alchemist?", "Alphonse Elric"
4,"In Sword Art Online, what is the virtual reality MMORPG that the characters get trapped in?", "Sword Art Online"
5,"What is the name of the virtual world in the anime series 'No Game No Life'?", "Disboard"
6,"Who is the main character in 'One Punch Man'?", "Saitama"
7,"What is the name of the pirate crew in One Piece?", "Straw Hat Pirates"
8,"Who is Naruto's teacher in the Naruto series?", "Kakashi Hatake"
9,"What high school does the main character of Tokyo Ghoul attend?", "Kamii University"
10,"What is the name of the titan that eats Eren's mother in Attack on Titan?", "Smiling Titan"
11,"What is the name of Light Yagami's girlfriend in Death Note?", "Misa Amane"
12,"What is the name of the city where Fullmetal Alchemist is set?", "Amestris"
13,"Who is the creator of Sword Art Online in the anime?", "Akihiko Kayaba"
14,"What is the name of the angel in 'No Game No Life'?", "Jibril"
15,"What is the name of Saitama's disciple in 'One Punch Man'?", "Genos"
16,"Who is the captain of the Straw Hat Pirates in One Piece?", "Monkey D. Luffy"
17,"What is the name of Naruto's son?", "Boruto Uzumaki"
18,"Who is the protagonist in Tokyo Ghoul?", "Ken Kaneki"
19,"What is the name of the military police in Attack on Titan?", "Military Police Brigade"
20,"What is the name of the detective chasing after Light in Death Note?", "L"
21,"What is the name of Edward and Alphonse's hometown in Fullmetal Alchemist?", "Resembool"
22,"What is the name of the second virtual game introduced in Sword Art Online?", "ALfheim Online"
23,"Who are the main characters in 'No Game No Life'?", "Sora and Shiro"
24,"What is the name of the city where 'One Punch Man' is set?", "City Z"
25,"Who is the author of One Piece?", "Eiichiro Oda"
